Country,Region/State,Zip/Postal Code,Weight (and above),Shipping Price
DEU,*,*,0.1,500
DEU,*,*,11,5520
IND,*,*,0.1,0
IND,AN,*,0.1,45
IND,AN,*,1.1,90
IND,AN,*,2.1,135
IND,AN,*,3.1,180
IND,AN,*,4.1,225
IND,AN,*,5.1,270
IND,AN,*,6.1,315
IND,AN,*,7.1,360
IND,AN,*,8.1,405
IND,AN,*,9.1,450
IND,AN,*,10.1,495
IND,AN,*,11.1,540
IND,AN,*,12.1,585
IND,AN,*,13.1,630
IND,AN,*,14.1,900
IND,AN,*,20.1,1125
IND,AN,*,25.1,1125
IND,AP,*,0.1,0
IND,AR,*,0.1,45
IND,AR,*,1.1,90
IND,AR,*,2.1,135
IND,AR,*,3.1,180
IND,AR,*,4.1,225
IND,AR,*,5.1,270
IND,AR,*,6.1,315
IND,AR,*,7.1,360
IND,AR,*,8.1,405
IND,AR,*,9.1,450
IND,AR,*,10.1,495
IND,AR,*,11.1,540
IND,AR,*,12.1,585
IND,AR,*,13.1,630
IND,AR,*,14.1,900
IND,AR,*,20.1,1125
IND,AR,*,25.1,1125
IND,AS,*,0.1,45
IND,AS,*,1.1,90
IND,AS,*,2.1,135
IND,AS,*,3.1,180
IND,AS,*,4.1,225
IND,AS,*,5.1,270
IND,AS,*,6.1,315
IND,AS,*,7.1,360
IND,AS,*,8.1,405
IND,AS,*,9.1,450
IND,AS,*,10.1,495
IND,AS,*,11.1,540
IND,AS,*,12.1,585
IND,AS,*,13.1,630
IND,AS,*,14.1,900
IND,AS,*,20.1,1125
IND,AS,*,25.1,1125
IND,BR,*,0.1,45
IND,BR,*,1.1,90
IND,BR,*,2.1,135
IND,BR,*,3.1,180
IND,BR,*,4.1,225
IND,BR,*,5.1,270
IND,BR,*,6.1,315
IND,BR,*,7.1,360
IND,BR,*,8.1,405
IND,BR,*,9.1,450
IND,BR,*,10.1,495
IND,BR,*,11.1,540
IND,BR,*,12.1,585
IND,BR,*,13.1,630
IND,BR,*,14.1,900
IND,BR,*,20.1,1125
IND,BR,*,25.1,1125
IND,CH,*,0.1,45
IND,CH,*,1.1,90
IND,CH,*,2.1,135
IND,CH,*,3.1,180
IND,CH,*,4.1,225
IND,CH,*,5.1,270
IND,CH,*,6.1,315
IND,CH,*,7.1,360
IND,CH,*,8.1,405
IND,CH,*,9.1,450
IND,CH,*,10.1,495
IND,CH,*,11.1,540
IND,CH,*,12.1,585
IND,CH,*,13.1,630
IND,CH,*,14.1,900
IND,CH,*,20.1,1125
IND,CH,*,25.1,1125
IND,CT,*,0.1,45
IND,CT,*,1.1,90
IND,CT,*,2.1,135
IND,CT,*,3.1,180
IND,CT,*,4.1,225
IND,CT,*,5.1,270
IND,CT,*,6.1,315
IND,CT,*,7.1,360
IND,CT,*,8.1,405
IND,CT,*,9.1,450
IND,CT,*,10.1,495
IND,CT,*,11.1,540
IND,CT,*,12.1,585
IND,CT,*,13.1,630
IND,CT,*,14.1,900
IND,CT,*,20.1,1125
IND,CT,*,25.1,1125
IND,DD,*,0.1,45
IND,DD,*,1.1,90
IND,DD,*,2.1,135
IND,DD,*,3.1,180
IND,DD,*,4.1,225
IND,DD,*,5.1,270
IND,DD,*,6.1,315
IND,DD,*,7.1,360
IND,DD,*,8.1,405
IND,DD,*,9.1,450
IND,DD,*,10.1,495
IND,DD,*,11.1,540
IND,DD,*,12.1,585
IND,DD,*,13.1,630
IND,DD,*,14.1,900
IND,DD,*,20.1,1125
IND,DD,*,25.1,1125
IND,DL,*,0.1,45
IND,DL,*,1.1,90
IND,DL,*,2.1,135
IND,DL,*,3.1,180
IND,DL,*,4.1,225
IND,DL,*,5.1,270
IND,DL,*,6.1,315
IND,DL,*,7.1,360
IND,DL,*,8.1,405
IND,DL,*,9.1,450
IND,DL,*,10.1,495
IND,DL,*,11.1,540
IND,DL,*,12.1,585
IND,DL,*,13.1,630
IND,DL,*,14.1,900
IND,DL,*,20.1,1125
IND,DL,*,25.1,1125
IND,DN,*,0.1,45
IND,DN,*,1.1,90
